Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::平衡建筑理论与工程实践,L2::水利工程,Undirected,培养项目-二级学科,1,overall,平衡建筑理论与工程实践,,水利工程
P::广播电视,L2::戏剧与影视,Undirected,培养项目-二级学科,74,overall,广播电视,,戏剧与影视
P::应用复合型法律硕士,L2::法律（法学）,Undirected,培养项目-二级学科,56,overall,应用复合型法律硕士,,法律（法学）
P::应用复合型法律硕士,L2::法律（非法学）,Undirected,培养项目-二级学科,246,overall,应用复合型法律硕士,,法律（非法学）
P::开放型经济与发展,L2::国际商务,Undirected,培养项目-二级学科,13,overall,开放型经济与发展,,国际商务
P::影视艺术与文化产业,L2::戏剧与影视,Undirected,培养项目-二级学科,19,overall,影视艺术与文化产业,,戏剧与影视
P::心理健康,L2::应用心理,Undirected,培养项目-二级学科,96,overall,心理健康,,应用心理
P::投资银行,L2::金融,Undirected,培养项目-二级学科,20,overall,投资银行,,金融
P::护理专项,L2::护理,Undirected,培养项目-二级学科,93,overall,护理专项,,护理
P::支撑“双碳”战略的新型电力系统,L2::电气工程,Undirected,培养项目-二级学科,38,overall,支撑“双碳”战略的新型电力系统,,电气工程
P::数字化高端制造技术及装备,L2::机械（机械学院）,Undirected,培养项目-二级学科,45,overall,数字化高端制造技术及装备,,机械（机械学院）
P::数字媒体艺术,L2::戏剧与影视,Undirected,培养项目-二级学科,20,overall,数字媒体艺术,,戏剧与影视
P::数字孪生技术与应用,L2::人工智能,Undirected,培养项目-二级学科,34,overall,数字孪生技术与应用,,人工智能
P::数字孪生技术与应用,L2::电子信息（软件学院）,Undirected,培养项目-二级学科,3,overall,数字孪生技术与应用,,电子信息（软件学院）
P::数字孪生技术与应用,L2::软件工程,Undirected,培养项目-二级学科,77,overall,数字孪生技术与应用,,软件工程
P::数字法治,L2::法律（非法学）,Undirected,培养项目-二级学科,25,overall,数字法治,,法律（非法学）
P::数字经济,L2::数字经济,Undirected,培养项目-二级学科,37,overall,数字经济,,数字经济
P::数字经济与三农现代化,L2::农村发展,Undirected,培养项目-二级学科,14,overall,数字经济与三农现代化,,农村发展
P::数字经济信息融合与泛在智能,L2::新一代电子信息技术（含量子技术等）,Undirected,培养项目-二级学科,1,overall,数字经济信息融合与泛在智能,,新一代电子信息技术（含量子技术等）
P::数字经济信息融合与泛在智能,L2::电子信息（国际联合学院）,Undirected,培养项目-二级学科,51,overall,数字经济信息融合与泛在智能,,电子信息（国际联合学院）
P::数字经济信息融合与泛在智能,L2::计算机技术,Undirected,培养项目-二级学科,42,overall,数字经济信息融合与泛在智能,,计算机技术
P::数字金融,L2::金融,Undirected,培养项目-二级学科,98,overall,数字金融,,金融
P::数工智造：新一代数据引擎与工业软件,L2::人工智能,Undirected,培养项目-二级学科,20,overall,数工智造：新一代数据引擎与工业软件,,人工智能
P::数工智造：新一代数据引擎与工业软件,L2::软件工程,Undirected,培养项目-二级学科,29,overall,数工智造：新一代数据引擎与工业软件,,软件工程
P::数据安全与智能安全,L2::网络与信息安全,Undirected,培养项目-二级学科,84,overall,数据安全与智能安全,,网络与信息安全
P::数据安全与智能安全,L2::计算机技术,Undirected,培养项目-二级学科,5,overall,数据安全与智能安全,,计算机技术
P::数据治理与智能分析技术研究,L2::人工智能,Undirected,培养项目-二级学科,24,overall,数据治理与智能分析技术研究,,人工智能
P::数据治理与智能分析技术研究,L2::电子信息（软件学院）,Undirected,培养项目-二级学科,4,overall,数据治理与智能分析技术研究,,电子信息（软件学院）
P::数据治理与智能分析技术研究,L2::软件工程,Undirected,培养项目-二级学科,85,overall,数据治理与智能分析技术研究,,软件工程
P::数据科学与工程,L2::大数据技术与工程,Undirected,培养项目-二级学科,152,overall,数据科学与工程,,大数据技术与工程
P::数智动保与动物诊疗,L2::兽医,Undirected,培养项目-二级学科,64,overall,数智动保与动物诊疗,,兽医
P::数智土木与交通,L2::交通运输,Undirected,培养项目-二级学科,10,overall,数智土木与交通,,交通运输
P::数智土木与交通,L2::土木工程,Undirected,培养项目-二级学科,21,overall,数智土木与交通,,土木工程
P::数智土木与交通,L2::土木水利（建工学院）,Undirected,培养项目-二级学科,5,overall,数智土木与交通,,土木水利（建工学院）
P::数智土木与交通,L2::水利工程,Undirected,培养项目-二级学科,2,overall,数智土木与交通,,水利工程
