Source,Target,Type,Id,Label,timeset,Weight
1021034,1023036,Undirected,374,,,49
1021035,1021107,Undirected,375,,,249
1021035,1021127,Undirected,376,,,126
1021035,1023038,Undirected,377,,,133
1021035,1023039,Undirected,378,,,286
1021035,1023042,Undirected,379,,,256
1021035,1023078,Undirected,380,,,222
1021035,1023105,Undirected,381,,,127
1021035,1023106,Undirected,382,,,374
1021035,1041095,Undirected,383,,,118
1021035,1023036,Undirected,387,,,55
1021035,1023040,Undirected,388,,,233
1021035,609606,Undirected,389,,,66
1021043,1021045,Undirected,390,,,48
1021043,1021046,Undirected,391,,,66
1021043,1023049,Undirected,392,,,47
1021043,1023050,Undirected,393,,,49
1021044,1023029,Undirected,394,,,177
1021044,1021045,Undirected,397,,,40
1021044,1023030,Undirected,398,,,169
1021044,109510,Undirected,399,,,66
1021044,609606,Undirected,400,,,68
1021045,1021046,Undirected,401,,,55
1021045,1023049,Undirected,402,,,59
1021045,1023050,Undirected,403,,,51
1021045,1023048,Undirected,406,,,40
1021046,1021157,Undirected,407,,,39
1021046,1023017,Undirected,408,,,90
1021046,1023048,Undirected,409,,,40
1021046,1023049,Undirected,410,,,67
1021046,1023050,Undirected,411,,,113
1021052,1021082,Undirected,412,,,239
1021052,1021085,Undirected,413,,,128
1021052,1021109,Undirected,414,,,90
1021052,1021128,Undirected,415,,,68
1021052,1023008,Undirected,416,,,157
1021052,1023083,Undirected,417,,,169
1021052,1023084,Undirected,418,,,140
1021079,1023029,Undirected,419,,,231
1021079,1023030,Undirected,420,,,144
1021079,109510,Undirected,421,,,53
1021079,609606,Undirected,422,,,68
1021082,1021085,Undirected,423,,,114
1021082,1021109,Undirected,424,,,110
1021082,1021128,Undirected,425,,,119
1021082,1023008,Undirected,426,,,203
1021082,1023083,Undirected,427,,,212
1021082,1023084,Undirected,428,,,163
1021082,609606,Undirected,429,,,55
1021085,1023008,Undirected,430,,,77
1021085,1023083,Undirected,431,,,86
1021085,1023084,Undirected,432,,,102
1021085,1041095,Undirected,433,,,46
1021096,1023021,Undirected,437,,,54
1021096,1023015,Undirected,440,,,54
1021107,1021127,Undirected,441,,,95
1021107,1021145,Undirected,442,,,74
1021107,1023037,Undirected,443,,,148
1021107,1023038,Undirected,444,,,86
1021107,1023039,Undirected,445,,,270
1021107,1023040,Undirected,446,,,150
1021107,1023042,Undirected,447,,,176
1021107,1023078,Undirected,448,,,175
1021107,1023105,Undirected,449,,,114
1021107,1023106,Undirected,450,,,341
1021107,1023118,Undirected,451,,,39
1021107,1023141,Undirected,452,,,39
1021109,1021128,Undirected,453,,,105
1021109,1023008,Undirected,454,,,92
1021109,1023083,Undirected,455,,,87
1021109,1023154,Undirected,456,,,25
1021115,1021125,Undirected,457,,,86
1021115,1023015,Undirected,458,,,81
1021115,1023017,Undirected,459,,,122
1021115,1023077,Undirected,460,,,118
1021115,1023101,Undirected,461,,,116
1021128,1023008,Undirected,462,,,92
1021128,1023083,Undirected,463,,,89
1023008,1023083,Undirected,464,,,132
1023008,1023084,Undirected,465,,,97
1023008,609606,Undirected,466,,,48
1023015,1021125,Undirected,467,,,87
1023015,1023017,Undirected,468,,,88
1023015,1023021,Undirected,469,,,89
1023015,1023077,Undirected,470,,,107
1023015,1023101,Undirected,471,,,97
1023017,1021125,Undirected,474,,,74
1023017,1023077,Undirected,475,,,98
1023017,1023101,Undirected,476,,,114
1023021,1023077,Undirected,477,,,105
1023021,1023101,Undirected,478,,,67
1023021,609606,Undirected,479,,,53
1023029,1023030,Undirected,480,,,234
1023029,1023103,Undirected,481,,,194
1023029,1041095,Undirected,482,,,172
1023029,109504,Undirected,483,,,39
1023029,109510,Undirected,484,,,80
1023029,409529,Undirected,485,,,30
1023029,609606,Undirected,486,,,89
1023030,1041095,Undirected,487,,,113
1023030,109510,Undirected,490,,,69
1023030,609606,Undirected,491,,,91
1023037,1013102,Undirected,492,,,48
1023037,1023078,Undirected,493,,,91
1023037,1023106,Undirected,494,,,125
1023038,1023078,Undirected,495,,,81
1023038,1023106,Undirected,496,,,144
1023039,1011151,Undirected,497,,,39
